STNAME,Milk_or_curd,Pulses_or_beans,Dark_green_leafy_vegetables,Fruits,Eggs, Fish,Chicken_or_meat,Fish_chicken_or_meat,Fried_Foods,Aerated_drinks
Telangana,86.2,91.8,80,50.8,76.6,18.6,70,72.4,26.9,10.8
Andaman & Nicobar,61.9,96.3,94,61.1,86.9,93.5,73.9,95.4,28.9,29.6
Andhra Pradesh,90.6,95.1,84.5,56.4,83.2,56.5,79.4,83.6,40.4,24.5
Arunachal Pradesh,63.1,80.9,96.3,58.3,65.8,62.9,63.3,74.7,59.1,30.4
Assam,54.8,92.3,86.3,49.9,67,81,57.5,85.4,73.1,25.8
Bihar,71.2,96.2,90.9,34.4,35.6,36.8,32.7,42.2,44.4,19.2
Chhattisgarh,44.6,92.4,97.3,42.9,39.7,31,28.8,34.2,30.5,10.7
Daman & Diu,68.8,98.6,91.8,52.3,41.3,36.6,37,46.9,26.9,18.7
Goa,76.3,98.1,97.6,92.7,73.7,92.4,40.6,93.3,58.5,36.1
Gujarat,80.6,93.5,90.3,54,18.5,13.8,16.5,20.2,29.4,21.4
Haryana,87.3,94,93.1,60.7,10.6,3.4,5.7,6.3,33.5,17.6
Himachal Pradesh,84.7,98.5,89.9,70.5,15.8,3.5,9.5,10.3,35.1,32.6
Jammu & Kashmir,86.5,80.7,90.1,69.7,40.6,16.2,43.9,46.9,37.6,27.4
Jharkhand,53.3,94.9,96.3,36.9,48.1,40.7,39.5,47.7,36.9,10.2
Karnataka,94,97.1,97.5,78.5,63.4,35.5,52.9,57.7,42.7,25.9
Kerala,80.1,90,62.4,76,64.2,88.3,48,90.5,51.9,15.6
Lakshadweep,65.7,88.4,44.6,68.7,78.3,97.1,73.8,98.7,68.7,45.4
Madhya Pradesh,63.7,94.5,92.5,43,20.3,11.5,12.2,14.9,40.8,9.8
Maharashtra,71.7,90.9,90.1,54.5,45.1,30.7,40.6,45.3,29.7,16.8
Manipur,46.1,82.8,97.7,53.3,57,67.3,50.5,80.2,64,19.8
Puducherry,87,85.8,85.9,66.3,81.8,82.2,63.7,87.4,44.9,10.3
Punjab,83.2,91,93.4,61,13,3.6,6.3,7,25.5,13
Rajasthan,88.8,90.8,90.2,46.1,12.4,4.5,7.3,8.3,39.5,12.7
Sikkim,85.3,94,97.1,71.7,72,56.8,74.2,79,47.1,33.7
Tamil Nadu,89.4,87.4,84.8,63.4,80.4,61.3,57.8,74.6,38.3,11.2
Tripura,40.8,86.2,94.1,52.5,74.9,87.5,70.3,89.9,71.7,24.2
Uttar Pradesh,70.7,93.6,91.5,39.6,25.4,15.3,16.8,19.8,47.4,12
Uttarakhand,74.8,95.4,93.1,60.6,33.8,13.7,19.1,22.1,35.8,10.5
West Bengal,53.1,92.9,97.5,44.2,83,87.8,63.5,90.4,62.5,13
Odisha,30,95.4,98.4,24.9,60.1,66.3,45.3,69.3,54.3,10
Dadra & Nagar Haveli,68.8,98.6,91.8,52.3,41.3,36.6,37,46.9,26.9,18.7
Meghalaya,52.2,78.1,85.9,62.7,68,57.4,54,66.8,70,23.4
Mizoram,35.7,65.9,93.7,53,63.5,26.1,54.9,61,92.7,9.9
Nagaland,60,57.2,83.7,38.7,39.3,30.7,47,57.2,49.6,15.1
Delhi,79.7,97,93.6,76.9,48.8,21.12,34.9,37.5,51.6,21.8
Ladakh,92,81.2,86.5,67.4,49.9,10.5,43.6,46.1,45.3,32

